site,lat,long,fill
Puna Geothermal Venture,19.48,-154.89,green
Kamaoa Wind Farm,18.9895,-155.6713,darkred
Kamaoa Wind Farm,18.9898,-155.6713,darkred
Kamaoa Wind Farm,18.9902,-155.6713,darkred
Kamaoa Wind Farm,18.9905,-155.6713,darkred
Kamaoa Wind Farm,18.9908,-155.6713,darkred
Kamaoa Wind Farm,18.9912,-155.6713,darkred
Kamaoa Wind Farm,18.9915,-155.6713,darkred
Kamaoa Wind Farm,18.9919,-155.6713,darkred
Kamaoa Wind Farm,18.9923,-155.6712,darkred
Kamaoa Wind Farm,18.9927,-155.6712,darkred
Kamaoa Wind Farm,18.9901,-155.6682,darkred
Kamaoa Wind Farm,18.9905,-155.6682,darkred
Kamaoa Wind Farm,18.9908,-155.6682,darkred
Kamaoa Wind Farm,18.9912,-155.6682,darkred
Kamaoa Wind Farm,18.9915,-155.6682,darkred
Kamaoa Wind Farm,18.9919,-155.6682,darkred
Kamaoa Wind Farm,18.9922,-155.6682,darkred
Kamaoa Wind Farm,18.9926,-155.6682,darkred
Kamaoa Wind Farm,18.9929,-155.6682,darkred
Kamaoa Wind Farm,18.9932,-155.6682,darkred
Kamaoa Wind Farm,18.9936,-155.6682,darkred
Kamaoa Wind Farm,18.9939,-155.6682,darkred
Kamaoa Wind Farm,18.9943,-155.6682,darkred
Kamaoa Wind Farm,18.9897,-155.6657,darkred
Kamaoa Wind Farm,18.9901,-155.6658,darkred
Kamaoa Wind Farm,18.9904,-155.6658,darkred
Kamaoa Wind Farm,18.991,-155.6658,darkred
Kamaoa Wind Farm,18.9917,-155.6659,darkred
Kamaoa Wind Farm,18.9921,-155.666,darkred
Kamaoa Wind Farm,18.9924,-155.666,darkred
Kamaoa Wind Farm,18.9928,-155.6661,darkred
Kamaoa Wind Farm,18.9931,-155.6661,darkred
Kamaoa Wind Farm,18.9934,-155.6662,darkred
Kamaoa Wind Farm,18.9938,-155.6662,darkred
Kamaoa Wind Farm,18.9941,-155.6662,darkred
Kamaoa Wind Farm,18.9945,-155.6662,darkred
Kamaoa Wind Farm,18.9948,-155.6662,darkred
Pakini Nui Wind Farm,18.9647,-155.6901,darkred
Pakini Nui Wind Farm,18.9656,-155.6901,darkred
Pakini Nui Wind Farm,18.9668,-155.6901,darkred
Pakini Nui Wind Farm,18.968,-155.6901,darkred
Pakini Nui Wind Farm,18.9689,-155.6901,darkred
Pakini Nui Wind Farm,18.9698,-155.69,darkred
Pakini Nui Wind Farm,18.9709,-155.6899,darkred
Pakini Nui Wind Farm,18.972,-155.6896,darkred
Pakini Nui Wind Farm,18.9729,-155.6896,darkred
Pakini Nui Wind Farm,18.9737,-155.6896,darkred
Pakini Nui Wind Farm,18.9748,-155.6893,darkred
Pakini Nui Wind Farm,18.9759,-155.689,darkred
Pakini Nui Wind Farm,18.977,-155.6887,darkred
Pakini Nui Wind Farm,18.978,-155.6884,darkred
Hawi Renewable Wind Farm,20.2515,-155.8509,darkred
Hawi Renewable Wind Farm,20.2528,-155.8484,darkred
Hawi Renewable Wind Farm,20.2529,-155.8511,darkred
Hawi Renewable Wind Farm,20.2532,-155.8465,darkred
Hawi Renewable Wind Farm,20.2542,-155.8525,darkred
Hawi Renewable Wind Farm,20.2551,-155.8471,darkred
