site,year,Turbine Manufacturer,Turbine Model,Tower Type,lat,long
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9895,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9898,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9902,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9905,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9908,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9912,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9915,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9919,-155.6713
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9923,-155.6712
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9927,-155.6712
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9901,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9905,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9908,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9912,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9915,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9919,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9922,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9926,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9929,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9932,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9936,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9939,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9943,-155.6682
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9897,-155.6657
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9901,-155.6658
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9904,-155.6658
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.991,-155.6658
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9917,-155.6659
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9921,-155.666
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9924,-155.666
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9928,-155.6661
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9931,-155.6661
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9934,-155.6662
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9938,-155.6662
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9941,-155.6662
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9945,-155.6662
Kamaoa Wind Farm,1987,Mitsubishi,250KW,decommissioned,18.9948,-155.6662
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9647,-155.6901
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9656,-155.6901
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9668,-155.6901
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.968,-155.6901
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9689,-155.6901
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9698,-155.69
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9709,-155.6899
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.972,-155.6896
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9729,-155.6896
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9737,-155.6896
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9748,-155.6893
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.9759,-155.689
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.977,-155.6887
Pakini Nui Wind Farm,2007,GE,1.5SE,monopole,18.978,-155.6884
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2515,-155.8509
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2528,-155.8484
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2529,-155.8511
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2532,-155.8465
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2542,-155.8525
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2551,-155.8471
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2555,-155.8534
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2547,-155.8492
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.257,-155.8535
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2572,-155.8504
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2581,-155.8474
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2587,-155.854
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2588,-155.8509
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2602,-155.855
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2603,-155.852
Hawi Renewable Wind Farm,2006,Vestas,V47,monopole,20.2603,-155.8485
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7865,-156.5298
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7882,-156.5311
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7894,-156.532
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7911,-156.5332
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.792,-156.5341
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.793,-156.5351
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7941,-156.5358
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7952,-156.5367
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7957,-156.5379
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.797,-156.5383
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.7988,-156.5393
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8038,-156.5445
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8047,-156.5452
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8057,-156.5459
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8066,-156.5466
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8077,-156.5471
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8087,-156.5476
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8099,-156.5482
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.811,-156.5488
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8122,-156.5493
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8142,-156.5504
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8149,-156.5511
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8159,-156.5519
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8169,-156.5526
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8184,-156.5526
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8195,-156.5532
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8205,-156.5539
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8215,-156.5545
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8225,-156.5552
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8236,-156.5556
Kaheawa Pastures 1,2006,GE,1.5SE,monopole,20.8248,-156.5562
University of Hawaii at Maui Wind Generator,2012,unknown,unknown,monopole,20.8913,-156.4817
Kalaeloa Airport Wind Generator,unknown,unknown,unknown,monopole,21.3004,-158.0705
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.6047,-158.0511
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.6063,-158.0521
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.6079,-158.0531
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.61,-158.0549
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.675,-157.9719
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6762,-157.9735
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6779,-157.9741
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.679,-157.9811
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6793,-157.9703
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6804,-157.9823
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.681,-157.9701
unknown Honolulu County,unknown,unknown,unknown,monopole,21.6814,-157.9888
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.682,-157.984
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6828,-157.9691
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6845,-157.9722
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.686,-157.9739
Kahuku Wind Farm,2012,Clipper,C96,monopole,21.6875,-157.9737
Auwahi Wind Farm,2012,Siemens,SWT3.0_101,monopole,20.5973,-156.3184
Auwahi Wind Farm,2012,Siemens,SWT3.0_101,monopole,20.5991,-156.3185
Auwahi Wind Farm,2012,Siemens,SWT3.0_101,monopole,20.6011,-156.3184
Auwahi Wind Farm,2012,Siemens,SWT3.0_101,monopole,20.6031,-156.3186
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.8001,-156.5394
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.8014,-156.5394
Kaheawa Pastures 2,2012,GE,1.5SLE,monopole,20.8027,-156.5396
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.5905,-158.0373
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.5921,-158.0382
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.5923,-158.0486
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.5944,-158.0505
Kawailoa Wind Farm,2012,Siemens,SWT2.3_101,monopole,21.5971,-158.0504
