site,Developer,Technology,Island,Location,Capacity,Project Status,Tax Map Key,PUC Docket,lat,long
Aloha Solar Energy Fund I Solar Project,"Aloha Solar Energy Fund I, LLC, Altus Power America, Inc.",Solar,Oahu,Nanakuli,5 MWac / 6.2 MWdc,Existing/Operational,(1)8-7-010:020,2015-0223,21.3998,-158.1603
Cyanotech Solar Array,Neighborhood Power Company (NPS),Solar,Hawaii,Kailua-Kona,500 kW,Existing/Operational,,,19.6399,-155.9969
Dole Plantation Solar Array,REC Solar,Solar,Oahu,Wahiawa,500 kW,Existing/Operational,(1)-6-4-003:001,,21.526,-158.0376
EE Waianae Solar,Eurus Energy America,Solar,Oahu,Waianae,27.6 MWac,Existing/Operational,(1)8-5-002:022 / 030,2014-0354,21.4359,-158.1848
Hawaii American Water Solar Array,"Hawaii American Water Co., Islandwide Solar LLC",Solar,Oahu,Hawaii Kai,250 kW,Existing/Operational,,,21.2878,-157.6723
"Hawaii FIT Forty, LLC",Distributed Energy Partners,Solar,Oahu,Waianae,570 kWdc,Existing/Operational,,,21.4195,-158.1737
Hawaii FIT Two,Distributed Energy Partners,Solar,Oahu,Waianae,596.7 kWdc,Existing/Operational,,,21.4077,-158.1546
Holaniku Test Facility,"Keahole Solar, Natural Energy Laboratory of Hawaii Authority",Solar,Hawaii,Keahole Point,Demonstration ,Existing/Operational,,,19.7267,-156.0619
Kalaeloa Renewable Energy Park,"Hanwha SolarEnergy America, Swinerton Renewable Energy, Scatec, Hunt Development",Solar,Oahu,Kalaeloa,5 MW,Existing/Operational,(1)9-1-013:096,2011-0384,21.3333,-158.0521
Kalaeloa Solar Power II,"SunPower, Bright Plain Renewable Energy, D.E. Shaw Renewable Investments, LLC",Solar,Oahu,Kalaeloa,5 MW,Existing/Operational,(1)9-1-013:028/038,2011-0051,21.3218,-158.0863
Kapaa Solar Project,"Kapaa Solar, REC Solar",Solar,Kauai,Kapaa,1 MW,Existing/Operational,(4)4-3-003:001,2010-0179,22.0881,-159.3381
Kapolei Sustainable Energy Park,"Forest City Hawaii, Hoku Scientific",Solar,Oahu,Kapolei,1 MW,Existing/Operational,(1)9-1-014:035,2011-0185,21.3105,-158.0569
KIUC / SolarCity Solar Project,"Kauai Island Utility Cooperative (KIUC), SolarCity Corp., Tesla",Solar,Kauai,Lihue,13 MWac / 17 MWdc,Existing/Operational,(4)3-8-003:001,2015-0331,21.9821,-159.3721
KRS1 Anahola Solar Farm,"Kauai Island Utility Cooperative, REC Solar, Homestead Community Development Corporation",Solar,Kauai,Anahola,12 MWac,Existing/Operational,(4)4-7-004-002,2011-0323,22.1453,-159.3156
KRS2 Koloa Solar Farm,"Kauai Island Utility Cooperative, SolarCity, Grove Farm",Solar,Kauai,Koloa,12 MWac,Existing/Operational,(4)2-8-002:002,2012-0383,21.9067,-159.4692
La Ola Solar Farm,"Castle & Cooke, SunPower, Xtreme Power, Pulama Lanai",Solar,Lanai,Lanai City,1.2 MWac,Existing/Operational,(2)4-9-002:001,2008-0167,20.8126,-156.9349
MP2 Kaneshiro Solar Project,"Kauai Island Utility Cooperative (KIUC), REC Solar",Solar,Kauai,Lawai,300 kW,Existing/Operational,(4)2-7-003:005,2011-0362,21.9219,-159.5094
Pearl City Peninsula PV,"Forest City Sustainable Resources, Hoku Scientific",Solar,Oahu,Pearl Harbor,1.23 MW,Existing/Operational,,,21.3437,-157.9732
Port Allen Solar Facility,"Alexander & Baldwin / McBryde Resources, Hoku Solar, Helix Electric",Solar,Kauai,Eleele,6 MW,Existing/Operational,(4)2-1-001:051,2011-0180,21.91028,-159.5872
Waianae PV-2 Solar Farm,"Kenyon Energy, Blue Earth, Inc.",Solar,Oahu,Waianae,500 kW,Existing/Operational,,,21.4384,-158.1416
Waihonu North Solar Farm,"Macquarie Infrastructure Corp. (HAWAII GAS), Meridian 158 LLC, Alexander & Baldwin, Swinerton Builders",Solar,Oahu,Mililani,5 MW,Existing/Operational,(1)9-5-001:087,,21.4697,-158.0172
Waihonu South Solar Farm,"Macquarie Infrastructure Corp. (HAWAII GAS), Alexander & Bladwin, Meridian 158 LLC, Swinerton Builders",Solar,Oahu,Mililani,1.5 MW,Existing/Operational,(1)9-5-001:087,,21.4621,-158.0195
Waimea Research Center PV Facility,"Pioneer Hi-Bred International, Inc., Dupont, REC Solar",Solar,Kauai,Waimea Research Center,250 kW,Existing/Operational,,2010-0122,20.0231,-155.6717
Waipio Solar Facility,"Pacific Energy Solutions, NextEra Energy Resources, NAVFAC Hawaii",Solar,Oahu,Joint Base Pearl Harbor-Hickam,11 MWac / 14.3 MWdc,Existing/Operational,,,21.3605,-157.9984
Wilcox Memorial Hospital Solar Photovoltaic Farm,"Sunetric, Hawaii Pacific Health Partners",Solar,Kauai,Lihue,500 kW,Existing/Operational,,,21.9811,-159.3711
